"","Name","G","Date","Age","Tm","X5","Opp","X7","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"82","Russell Westbrook","1",2016-10-26,"27-349","OKC","@","PHI","W (+6)","1","NA","11","21","0.524","1","2","0.5","9","11","0.818","1","11","12","9","0","0","2","2","32","28.4","10"
"83","Russell Westbrook","2",2016-10-28,"27-351","OKC",NA,"PHO","W (+3)","1","NA","17","44","0.386","2","10","0.2","15","20","0.75","3","10","13","10","2","0","5","3","51","32.9","7"
"84","Russell Westbrook","3",2016-10-30,"27-353","OKC",NA,"LAL","W (+17)","1","NA","11","21","0.524","5","6","0.833","6","6","1","4","7","11","16","1","1","7","3","33","32.3","9"
"85","Russell Westbrook","4",2016-11-02,"27-356","OKC","@","LAC","W (+2)","1","NA","14","30","0.467","0","7","0","7","9","0.778","1","5","6","5","3","0","10","4","35","15.9","12"
"86","Russell Westbrook","5",2016-11-03,"27-357","OKC","@","GSW","L (-26)","1","NA","4","15","0.267","2","4","0.5","10","14","0.714","1","5","6","10","1","2","6","3","20","13.9","-9"
"87","Russell Westbrook","6",2016-11-05,"27-359","OKC",NA,"MIN","W (+20)","1","NA","9","18","0.5","4","5","0.8","6","8","0.75","2","4","6","8","3","0","2","3","28","26.2","22"
"88","Russell Westbrook","7",2016-11-07,"27-361","OKC",NA,"MIA","W (+12)","1","NA","5","16","0.313","1","6","0.167","3","3","1","2","3","5","11","0","0","5","2","14","9","24"
"89","Russell Westbrook","8",2016-11-09,"27-363","OKC",NA,"TOR","L (-10)","1","NA","9","26","0.346","3","12","0.25","15","18","0.833","2","5","7","7","1","2","8","2","36","21.6","-4"
"90","Russell Westbrook","9",2016-11-11,"27-365","OKC",NA,"LAC","L (-2)","1","NA","9","25","0.36","3","5","0.6","8","9","0.889","1","13","14","9","1","0","4","5","29","20.6","-5"
"91","Russell Westbrook","10",2016-11-13,"28-001","OKC",NA,"ORL","L (-2)","1","NA","14","21","0.667","0","3","0","13","18","0.722","2","10","12","16","0","0","2","2","41","42.7","9"
"92","Russell Westbrook","11",2016-11-14,"28-002","OKC","@","DET","L (-16)","1","NA","11","21","0.524","0","2","0","11","12","0.917","2","13","15","8","0","0","7","4","33","24.6","-6"
"93","Russell Westbrook","12",2016-11-16,"28-004","OKC",NA,"HOU","W (+2)","1","NA","9","20","0.45","2","4","0.5","10","11","0.909","1","6","7","9","2","0","6","0","30","24","12"
"94","Russell Westbrook","13",2016-11-18,"28-006","OKC",NA,"BRK","W (+19)","1","NA","13","21","0.619","0","1","0","4","5","0.8","3","7","10","13","1","0","3","0","30","31.4","21"
"95","Russell Westbrook","14",2016-11-20,"28-008","OKC",NA,"IND","L (-4)","1","NA","13","34","0.382","2","8","0.25","3","5","0.6","5","6","11","15","1","0","7","3","31","20.2","-16"
"96","Russell Westbrook","15",2016-11-22,"28-010","OKC","@","LAL","L (-2)","1","NA","13","30","0.433","4","9","0.444","4","5","0.8","3","5","8","13","2","0","8","3","34","23.3","9"
"97","Russell Westbrook","16",2016-11-23,"28-011","OKC","@","SAC","L (-15)","1","NA","7","18","0.389","1","5","0.2","16","19","0.842","1","10","11","9","2","0","3","1","31","28.6","-7"
"98","Russell Westbrook","17",2016-11-25,"28-013","OKC","@","DEN","W (+3)","1","NA","9","25","0.36","3","4","0.75","15","17","0.882","1","10","11","17","1","1","7","3","36","30.4","10"
"99","Russell Westbrook","18",2016-11-26,"28-014","OKC",NA,"DET","W (+18)","1","NA","8","22","0.364","0","5","0","1","2","0.5","3","10","13","15","1","1","5","2","17","15.9","14"
"100","Russell Westbrook","19",2016-11-28,"28-016","OKC","@","NYK","W (+9)","1","NA","9","23","0.391","2","3","0.667","7","7","1","5","12","17","14","2","0","7","3","27","25.2","5"
"101","Russell Westbrook","20",2016-11-30,"28-018","OKC",NA,"WAS","W (+11)","1","NA","12","35","0.343","1","6","0.167","10","10","1","4","10","14","11","2","0","5","3","35","24.6","4"
"102","Russell Westbrook","21",2016-12-04,"28-022","OKC",NA,"NOP","W (+9)","1","NA","10","23","0.435","2","8","0.25","6","9","0.667","1","16","17","12","1","0","10","1","28","19.2","13"
"103","Russell Westbrook","22",2016-12-05,"28-023","OKC","@","ATL","W (+3)","1","NA","10","22","0.455","3","8","0.375","9","14","0.643","1","12","13","12","1","1","4","1","32","28.6","-4"
"104","Russell Westbrook","23",2016-12-09,"28-027","OKC",NA,"HOU","L (-3)","1","NA","8","25","0.32","0","7","0","11","12","0.917","1","9","10","10","3","0","8","3","27","16.5","-1"
"105","Russell Westbrook","24",2016-12-11,"28-029","OKC",NA,"BOS","W (+3)","1","NA","14","26","0.538","2","5","0.4","7","12","0.583","3","9","12","6","2","0","7","3","37","25.2","9"
"106","Russell Westbrook","25",2016-12-13,"28-031","OKC","@","POR","L (-19)","1","NA","7","19","0.368","2","5","0.4","4","4","1","2","4","6","6","0","0","4","1","20","11.9","-10"
"107","Russell Westbrook","26",2016-12-14,"28-032","OKC","@","UTA","L (-20)","1","NA","7","25","0.28","2","5","0.4","11","13","0.846","1","5","6","5","1","0","5","4","27","11.6","-6"
"108","Russell Westbrook","27",2016-12-17,"28-035","OKC",NA,"PHO","W (+13)","1","NA","9","17","0.529","1","2","0.5","7","7","1","0","11","11","22","2","1","5","3","26","32.9","16"
"109","Russell Westbrook","28",2016-12-19,"28-037","OKC",NA,"ATL","L (-2)","1","NA","16","33","0.485","3","10","0.3","11","13","0.846","2","9","11","7","1","0","4","2","46","33.7","-2"
"110","Russell Westbrook","29",2016-12-21,"28-039","OKC","@","NOP","W (+11)","1","NA","12","26","0.462","2","7","0.286","16","18","0.889","1","9","10","7","1","0","4","2","42","32.3","-4"
"111","Russell Westbrook","30",2016-12-23,"28-041","OKC","@","BOS","W (+5)","1","NA","13","25","0.52","5","7","0.714","14","16","0.875","1","10","11","11","1","0","4","1","45","39.9","9"
"112","Russell Westbrook","31",2016-12-25,"28-043","OKC",NA,"MIN","W (+12)","1","NA","11","25","0.44","1","4","0.25","8","9","0.889","3","4","7","15","1","1","5","2","31","27.2","12"
"113","Russell Westbrook","32",2016-12-27,"28-045","OKC","@","MIA","W (+12)","1","NA","11","22","0.5","0","1","0","7","10","0.7","0","17","17","11","0","0","7","0","29","22.6","12"
"114","Russell Westbrook","33",2016-12-29,"28-047","OKC","@","MEM","L (-34)","1","23:23:00","6","19","0.316","2","6","0.333","7","10","0.7","2","3","5","0","2","0","6","3","21","6","-11"
"115","Russell Westbrook","34",2016-12-31,"28-049","OKC",NA,"LAC","W (+26)","1","NA","6","11","0.545","0","2","0","5","6","0.833","0","12","12","14","2","0","1","0","17","25.7","26"
"116","Russell Westbrook","35",2017-01-02,"28-051","OKC","@","MIL","L (-4)","1","NA","9","28","0.321","2","10","0.2","10","11","0.909","0","7","7","6","3","0","5","3","30","16.7","3"
"117","Russell Westbrook","36",2017-01-04,"28-053","OKC","@","CHO","L (-11)","1","NA","10","31","0.323","2","12","0.167","11","13","0.846","3","12","15","8","2","1","4","5","33","22.5","-8"
"118","Russell Westbrook","37",2017-01-05,"28-054","OKC","@","HOU","L (-2)","1","NA","16","34","0.471","8","15","0.533","9","11","0.818","1","7","8","5","2","0","5","2","49","33.3","2"
"119","Russell Westbrook","38",2017-01-07,"28-056","OKC",NA,"DEN","W (+15)","1","NA","10","20","0.5","7","12","0.583","5","6","0.833","2","15","17","11","3","0","5","3","32","32","24"
"120","Russell Westbrook","39",2017-01-09,"28-058","OKC","@","CHI","W (+15)","1","NA","9","18","0.5","1","7","0.143","2","3","0.667","0","9","9","14","1","0","4","2","21","20.3","10"
"121","Russell Westbrook","40",2017-01-11,"28-060","OKC",NA,"MEM","W (+8)","1","NA","6","20","0.3","0","7","0","12","15","0.8","1","12","13","12","2","1","6","1","24","20.2","13"
"122","Russell Westbrook","41",2017-01-13,"28-062","OKC","@","MIN","L (-10)","1","NA","7","23","0.304","1","10","0.1","6","7","0.857","3","8","11","12","2","0","10","3","21","11","-10"
"123","Russell Westbrook","42",2017-01-15,"28-064","OKC","@","SAC","W (+4)","1","NA","11","21","0.524","4","5","0.8","10","11","0.909","2","9","11","10","4","0","7","1","36","33","-1"
"124","Russell Westbrook","43",2017-01-16,"28-065","OKC","@","LAC","L (-22)","1","NA","7","19","0.368","2","7","0.286","8","9","0.889","1","4","5","4","2","0","4","2","24","15","-20"
"125","Russell Westbrook","44",2017-01-18,"28-067","OKC","@","GSW","L (-21)","1","NA","8","23","0.348","1","6","0.167","10","11","0.909","4","11","15","13","2","2","10","5","27","20.3","-19"
