"","X1","Team","G","Date","X3","Opponent","X5","X6","Tm","Opp","W","L","Streak","Dates"
"130",130,"San Antonio Spurs",48,"Tue Jan 31 2017","vs","Oklahoma City Thunder","W",NA,108,94,37,11,"W 1",2017-01-31
"131",131,"San Antonio Spurs",49,"Thu Feb 2 2017","vs","Philadelphia 76ers","W",NA,102,86,38,11,"W 2",2017-02-02
"132",132,"San Antonio Spurs",50,"Sat Feb 4 2017","vs","Denver Nuggets","W",NA,121,97,39,11,"W 3",2017-02-04
"133",133,"San Antonio Spurs",51,"Mon Feb 6 2017","@","Memphis Grizzlies","L",NA,74,89,39,12,"L 1",2017-02-06
"134",134,"San Antonio Spurs",52,"Wed Feb 8 2017","@","Philadelphia 76ers","W",NA,111,103,40,12,"W 1",2017-02-08
"135",135,"San Antonio Spurs",53,"Fri Feb 10 2017","@","Detroit Pistons","W",NA,103,92,41,12,"W 2",2017-02-10
"136",136,"San Antonio Spurs",54,"Sun Feb 12 2017","@","New York Knicks","L",NA,90,94,41,13,"L 1",2017-02-12
"137",137,"San Antonio Spurs",55,"Mon Feb 13 2017","@","Indiana Pacers","W",NA,110,106,42,13,"W 1",2017-02-13
"138",138,"San Antonio Spurs",56,"Wed Feb 15 2017","@","Orlando Magic","W",NA,107,79,43,13,"W 2",2017-02-15
"139",139,"San Antonio Spurs",57,"Fri Feb 24 2017","@","Los Angeles Clippers","W",NA,105,97,44,13,"W 3",2017-02-24
"140",140,"San Antonio Spurs",58,"Sun Feb 26 2017","@","Los Angeles Lakers","W",NA,119,98,45,13,"W 4",2017-02-26
"141",141,"San Antonio Spurs",59,"Wed Mar 1 2017","vs","Indiana Pacers","W",NA,100,99,46,13,"W 5",2017-03-01
"142",142,"San Antonio Spurs",60,"Fri Mar 3 2017","@","New Orleans Pelicans","W","OT",101,98,47,13,"W 6",2017-03-03
"143",143,"San Antonio Spurs",61,"Sat Mar 4 2017","vs","Minnesota Timberwolves","W","OT",97,90,48,13,"W 7",2017-03-04
"144",144,"San Antonio Spurs",62,"Mon Mar 6 2017","vs","Houston Rockets","W",NA,112,110,49,13,"W 8",2017-03-06
"145",145,"San Antonio Spurs",63,"Wed Mar 8 2017","vs","Sacramento Kings","W",NA,114,104,50,13,"W 9",2017-03-08
"146",146,"San Antonio Spurs",64,"Thu Mar 9 2017","@","Oklahoma City Thunder","L",NA,92,102,50,14,"L 1",2017-03-09
"147",147,"San Antonio Spurs",65,"Sat Mar 11 2017","vs","Golden State Warriors","W",NA,107,85,51,14,"W 1",2017-03-11
"148",148,"San Antonio Spurs",66,"Mon Mar 13 2017","vs","Atlanta Hawks","W",NA,107,99,52,14,"W 2",2017-03-13
"149",149,"San Antonio Spurs",67,"Wed Mar 15 2017","vs","Portland Trail Blazers","L",NA,106,110,52,15,"L 1",2017-03-15
"150",150,"San Antonio Spurs",68,"Sat Mar 18 2017","@","Memphis Grizzlies","L",NA,96,104,52,16,"L 2",2017-03-18
"151",151,"San Antonio Spurs",69,"Sun Mar 19 2017","vs","Sacramento Kings","W",NA,118,102,53,16,"W 1",2017-03-19
"152",152,"San Antonio Spurs",70,"Tue Mar 21 2017","@","Minnesota Timberwolves","W",NA,100,93,54,16,"W 2",2017-03-21
"153",153,"San Antonio Spurs",71,"Thu Mar 23 2017","vs","Memphis Grizzlies","W",NA,97,90,55,16,"W 3",2017-03-23
"154",154,"San Antonio Spurs",72,"Sat Mar 25 2017","vs","New York Knicks","W",NA,106,98,56,16,"W 4",2017-03-25
"155",155,"San Antonio Spurs",73,"Mon Mar 27 2017","vs","Cleveland Cavaliers","W",NA,103,74,57,16,"W 5",2017-03-27
"156",156,"San Antonio Spurs",74,"Wed Mar 29 2017","vs","Golden State Warriors","L",NA,98,110,57,17,"L 1",2017-03-29
"157",157,"San Antonio Spurs",75,"Fri Mar 31 2017","@","Oklahoma City Thunder","W",NA,100,95,58,17,"W 1",2017-03-31
"158",158,"San Antonio Spurs",76,"Sun Apr 2 2017","vs","Utah Jazz","W",NA,109,103,59,17,"W 2",2017-04-02
"159",159,"San Antonio Spurs",77,"Tue Apr 4 2017","vs","Memphis Grizzlies","W","OT",95,89,60,17,"W 3",2017-04-04
"160",160,"San Antonio Spurs",78,"Wed Apr 5 2017","vs","Los Angeles Lakers","L",NA,95,102,60,18,"L 1",2017-04-05
"161",161,"San Antonio Spurs",79,"Fri Apr 7 2017","@","Dallas Mavericks","W",NA,102,89,61,18,"W 1",2017-04-07
"162",162,"San Antonio Spurs",80,"Sat Apr 8 2017","vs","Los Angeles Clippers","L",NA,87,98,61,19,"L 1",2017-04-08
"163",163,"San Antonio Spurs",81,"Mon Apr 10 2017","@","Portland Trail Blazers","L",NA,98,99,61,20,"L 2",2017-04-10
