"","X1","Team","G","Date","X3","Opponent","X5","X6","Tm","Opp","W","L","Streak","Dates","Binary"
"125",125,"Cleveland Cavaliers",43,"Mon Jan 23 2017","@","New Orleans Pelicans","L",NA,122,124,30,13,"L 2",2017-01-21,0
"126",126,"Cleveland Cavaliers",44,"Wed Jan 25 2017","vs","Sacramento Kings","L","OT",112,116,30,14,"L 3",2017-01-23,0
"127",127,"Cleveland Cavaliers",45,"Fri Jan 27 2017","vs","Brooklyn Nets","W",NA,124,116,31,14,"W 1",2017-01-24,1
"128",128,"Cleveland Cavaliers",46,"Sun Jan 29 2017","vs","Oklahoma City Thunder","W",NA,107,91,32,14,"W 2",2017-01-27,1
"129",129,"Cleveland Cavaliers",47,"Mon Jan 30 2017","@","Dallas Mavericks","L",NA,97,104,32,15,"L 1",2017-01-29,0
"130",130,"Cleveland Cavaliers",48,"Wed Feb 1 2017","vs","Minnesota Timberwolves","W",NA,125,97,33,15,"W 1",2017-01-31,1
"131",131,"Cleveland Cavaliers",49,"Sat Feb 4 2017","@","New York Knicks","W",NA,111,104,34,15,"W 2",2017-02-02,1
"132",132,"Cleveland Cavaliers",50,"Mon Feb 6 2017","@","Washington Wizards","W","OT",140,135,35,15,"W 3",2017-02-04,1
"133",133,"Cleveland Cavaliers",51,"Wed Feb 8 2017","@","Indiana Pacers","W",NA,132,117,36,15,"W 4",2017-02-06,1
"134",134,"Cleveland Cavaliers",52,"Thu Feb 9 2017","@","Oklahoma City Thunder","L",NA,109,118,36,16,"L 1",2017-02-08,0
"135",135,"Cleveland Cavaliers",53,"Sat Feb 11 2017","vs","Denver Nuggets","W",NA,125,109,37,16,"W 1",2017-02-10,1
"136",136,"Cleveland Cavaliers",54,"Tue Feb 14 2017","@","Minnesota Timberwolves","W",NA,116,108,38,16,"W 2",2017-02-12,1
"137",137,"Cleveland Cavaliers",55,"Wed Feb 15 2017","vs","Indiana Pacers","W",NA,113,104,39,16,"W 3",2017-02-13,1
"138",138,"Cleveland Cavaliers",56,"Thu Feb 23 2017","vs","New York Knicks","W",NA,119,104,40,16,"W 4",2017-02-15,1
"139",139,"Cleveland Cavaliers",57,"Sat Feb 25 2017","vs","Chicago Bulls","L",NA,99,117,40,17,"L 1",2017-02-24,0
"140",140,"Cleveland Cavaliers",58,"Mon Feb 27 2017","vs","Milwaukee Bucks","W",NA,102,95,41,17,"W 1",2017-02-26,1
"141",141,"Cleveland Cavaliers",59,"Wed Mar 1 2017","@","Boston Celtics","L",NA,99,103,41,18,"L 1",2017-03-01,0
"142",142,"Cleveland Cavaliers",60,"Fri Mar 3 2017","@","Atlanta Hawks","W",NA,135,130,42,18,"W 1",2017-03-03,1
"143",143,"Cleveland Cavaliers",61,"Sat Mar 4 2017","@","Miami Heat","L",NA,92,120,42,19,"L 1",2017-03-04,0
"144",144,"Cleveland Cavaliers",62,"Mon Mar 6 2017","vs","Miami Heat","L",NA,98,106,42,20,"L 2",2017-03-06,0
"145",145,"Cleveland Cavaliers",63,"Thu Mar 9 2017","@","Detroit Pistons","L",NA,101,106,42,21,"L 3",2017-03-08,0
"146",146,"Cleveland Cavaliers",64,"Sat Mar 11 2017","@","Orlando Magic","W",NA,116,104,43,21,"W 1",2017-03-09,1
"147",147,"Cleveland Cavaliers",65,"Sun Mar 12 2017","@","Houston Rockets","L",NA,112,117,43,22,"L 1",2017-03-11,0
"148",148,"Cleveland Cavaliers",66,"Tue Mar 14 2017","vs","Detroit Pistons","W",NA,128,96,44,22,"W 1",2017-03-13,1
"149",149,"Cleveland Cavaliers",67,"Thu Mar 16 2017","vs","Utah Jazz","W",NA,91,83,45,22,"W 2",2017-03-15,1
"150",150,"Cleveland Cavaliers",68,"Sat Mar 18 2017","@","Los Angeles Clippers","L",NA,78,108,45,23,"L 1",2017-03-18,0
"151",151,"Cleveland Cavaliers",69,"Sun Mar 19 2017","@","Los Angeles Lakers","W",NA,125,120,46,23,"W 1",2017-03-19,1
"152",152,"Cleveland Cavaliers",70,"Wed Mar 22 2017","@","Denver Nuggets","L",NA,113,126,46,24,"L 1",2017-03-21,0
"153",153,"Cleveland Cavaliers",71,"Fri Mar 24 2017","@","Charlotte Hornets","W",NA,112,105,47,24,"W 1",2017-03-23,1
