"","X1","Team","G","Date","X3","Opponent","X5","X6","Tm","Opp","W","L","Streak","Dates","Binary"
"120",238,"Houston Rockets",74,"Tue Mar 28 2017","vs","Golden State Warriors","L",NA,106,113,51,23,"L 1",2017-03-28,0
"121",242,"Houston Rockets",78,"Wed Apr 5 2017","vs","Denver Nuggets","W",NA,110,104,53,25,"W 2",2017-04-05,1
"122",243,"Houston Rockets",79,"Fri Apr 7 2017","vs","Detroit Pistons","L",NA,109,114,53,26,"L 1",2017-04-07,0
"123",246,"Houston Rockets",82,"Wed Apr 12 2017","vs","Minnesota Timberwolves","W",NA,123,118,55,27,"W 1",2017-04-12,1
"124",248,"Utah Jazz",2,"Fri Oct 28 2016","vs","Los Angeles Lakers","W",NA,96,89,1,1,"W 1",2016-10-28,1
"125",251,"Utah Jazz",5,"Wed Nov 2 2016","vs","Dallas Mavericks","W",NA,97,81,3,2,"W 2",2016-11-02,1
"126",252,"Utah Jazz",6,"Fri Nov 4 2016","vs","San Antonio Spurs","L",NA,86,100,3,3,"L 1",2016-11-04,0
"127",258,"Utah Jazz",12,"Mon Nov 14 2016","vs","Memphis Grizzlies","L",NA,96,102,7,5,"L 1",2016-11-14,0
"128",259,"Utah Jazz",13,"Thu Nov 17 2016","vs","Chicago Bulls","L",NA,77,85,7,6,"L 2",2016-11-17,0
"129",262,"Utah Jazz",16,"Wed Nov 23 2016","vs","Denver Nuggets","W",NA,108,83,8,8,"W 1",2016-11-23,1
"130",263,"Utah Jazz",17,"Fri Nov 25 2016","vs","Atlanta Hawks","W",NA,95,68,9,8,"W 2",2016-11-25,1
"131",265,"Utah Jazz",19,"Tue Nov 29 2016","vs","Houston Rockets","W",NA,120,101,11,8,"W 4",2016-11-29,1
"132",266,"Utah Jazz",20,"Thu Dec 1 2016","vs","Miami Heat","L",NA,110,111,11,9,"L 1",2016-12-01,0
"133",267,"Utah Jazz",21,"Sat Dec 3 2016","vs","Denver Nuggets","W",NA,105,98,12,9,"W 1",2016-12-03,1
"134",269,"Utah Jazz",23,"Tue Dec 6 2016","vs","Phoenix Suns","W",NA,112,105,14,9,"W 3",2016-12-06,1
"135",270,"Utah Jazz",24,"Thu Dec 8 2016","vs","Golden State Warriors","L",NA,99,106,14,10,"L 1",2016-12-08,0
"136",271,"Utah Jazz",25,"Sat Dec 10 2016","vs","Sacramento Kings","W",NA,104,84,15,10,"W 1",2016-12-10,1
"137",272,"Utah Jazz",26,"Wed Dec 14 2016","vs","Oklahoma City Thunder","W",NA,109,89,16,10,"W 2",2016-12-14,1
"138",273,"Utah Jazz",27,"Fri Dec 16 2016","vs","Dallas Mavericks","W",NA,103,100,17,10,"W 3",2016-12-16,1
"139",276,"Utah Jazz",30,"Wed Dec 21 2016","vs","Sacramento Kings","L",NA,93,94,18,12,"L 2",2016-12-21,0
"140",277,"Utah Jazz",31,"Fri Dec 23 2016","vs","Toronto Raptors","L",NA,98,104,18,13,"L 3",2016-12-23,0
"141",279,"Utah Jazz",33,"Thu Dec 29 2016","vs","Philadelphia 76ers","W",NA,100,83,20,13,"W 2",2016-12-29,1
