"","Team","G","Date","X3","Opponent","X5","X6","Tm","Opp","W","L","Streak","Notes"
"177","Toronto Raptors",13,"Sun Nov 20 2016","@","Sacramento Kings","L",NA,99,102,8,5,"L 1",NA
"178","Toronto Raptors",14,"Mon Nov 21 2016","@","Los Angeles Clippers","L",NA,115,123,8,6,"L 2",NA
"179","Toronto Raptors",15,"Wed Nov 23 2016","@","Houston Rockets","W",NA,115,102,9,6,"W 1",NA
"180","Toronto Raptors",16,"Fri Nov 25 2016","@","Milwaukee Bucks","W",NA,105,99,10,6,"W 2",NA
"181","Toronto Raptors",17,"Mon Nov 28 2016",NA,"Philadelphia 76ers","W",NA,122,95,11,6,"W 3",NA
"182","Toronto Raptors",18,"Wed Nov 30 2016",NA,"Memphis Grizzlies","W",NA,120,105,12,6,"W 4",NA
"183","Toronto Raptors",19,"Fri Dec 2 2016",NA,"Los Angeles Lakers","W",NA,113,80,13,6,"W 5",NA
"184","Toronto Raptors",20,"Sat Dec 3 2016",NA,"Atlanta Hawks","W",NA,128,84,14,6,"W 6",NA
"185","Toronto Raptors",21,"Mon Dec 5 2016",NA,"Cleveland Cavaliers","L",NA,112,116,14,7,"L 1",NA
"186","Toronto Raptors",22,"Thu Dec 8 2016",NA,"Minnesota Timberwolves","W",NA,124,110,15,7,"W 1",NA
"187","Toronto Raptors",23,"Fri Dec 9 2016","@","Boston Celtics","W",NA,101,94,16,7,"W 2",NA
"188","Toronto Raptors",24,"Mon Dec 12 2016",NA,"Milwaukee Bucks","W",NA,122,100,17,7,"W 3",NA
"189","Toronto Raptors",25,"Wed Dec 14 2016","@","Philadelphia 76ers","W",NA,123,114,18,7,"W 4",NA
"190","Toronto Raptors",26,"Fri Dec 16 2016",NA,"Atlanta Hawks","L",NA,121,125,18,8,"L 1",NA
"191","Toronto Raptors",27,"Sun Dec 18 2016","@","Orlando Magic","W",NA,109,79,19,8,"W 1",NA
"192","Toronto Raptors",28,"Tue Dec 20 2016",NA,"Brooklyn Nets","W",NA,116,104,20,8,"W 2",NA
"193","Toronto Raptors",29,"Fri Dec 23 2016","@","Utah Jazz","W",NA,104,98,21,8,"W 3",NA
"194","Toronto Raptors",30,"Mon Dec 26 2016","@","Portland Trail Blazers","W",NA,95,91,22,8,"W 4",NA
